"","Bat_Index","Bat_ID","General.Location","Site.Name","Date","Julian.Day","Year","Site_Net","Net_UTMx","Net_UTMy","Species","Sex","Reprod","Mass..g.","RFA..mm.","Age","WingScore.","forage_radius","fnet_id","open_water","developed_open","developed_low","developed_medium","developed_high","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herb","pasture_hay","crop","woody_wet","herb_wet","total_area","COI_ID","s16_ID","dominant_veg","SexReprod","gmm_8cluster","max.depth","raw.richness","rel.richness","prop.richness","ed.richness","log.ed.richness","clr.richness","evenness","Geo.Section","Geo.Sub.Section"
"MLG16_4_3082","F-3082","F-3082","St. Croix State Park","Kennedy Brook","6/28/16",180,2016,"Kennedy Brook_Net2",520972,5083552,"EPFU","F","P",26.5,"47","A","0",405.7866,"520972_5083552_405.7866",33,36,0,0,0,0,358,0,0,0,3,0,0,96,47,573,"MLGANML_4_3082","MLG16_4_3082","deciduous_forest","Female Reproductive",1,34644,170,0.00490705461263134,0.100027770146794,40,5.32192809488736,-0.863158807418533,0.690465375215744,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3083","M-3083","M-3083","St. Croix State Park","Kennedy Brook","6/28/16",180,2016,"Kennedy Brook_Net2",520972,5083552,"EPFU","M","NR",19.5,"43.5","A","0",405.7866,"520972_5083552_405.7866",33,36,0,0,0,0,358,0,0,0,3,0,0,96,47,573,"MLGANML_4_3083","MLG16_4_3083","deciduous_forest","Male Non-Reproductive",1,13648,488,0.0357561547479484,0.728870719974128,108,6.75488750216347,2.0021035556455,0.475517339783378,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3086","M-3086","M-3086","St. Croix State Park","Kennedy Brook","6/28/16",180,2016,"Kennedy Brook_Net1",521007,5083662,"MYSE","M","NR",9.7,"25.4","A","0",275.352,"521007_5083662_275.352",0,16,0,0,0,0,162,0,0,0,0,0,0,56,31,265,"MLGANML_4_3086","MLG16_4_3086","deciduous_forest","Male Non-Reproductive",1,14884,155,0.0104138672399893,0.212281297204126,39,5.28540221886225,0.222417879549374,0.228146130201579,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3093","F-3093","F-3093","St. Croix State Park","DeadEnd Lake","6/29/16",181,2016,"DeadEnd Lake_Net2",527883,5087303,"MYSE","F","L",11,"25","A","0",275.352,"527883_5087303_275.352",14,20,0,0,0,0,142,0,0,0,0,0,0,87,4,267,"MLGANML_4_3093","MLG16_4_3093","deciduous_forest","Female Reproductive",1,25855,748,0.0289305743569909,0.589734794177075,114,6.83289001416474,1.69650692491779,0.546763770765025,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3094","F-3094","F-3094","St. Croix State Park","DeadEnd Lake","6/29/16",181,2016,"DeadEnd Lake_Net1",527991,5087289,"MYSE","F","L",9.5,"23.5","A","0",275.352,"527991_5087289_275.352",0,26,0,0,0,0,146,0,0,0,0,0,0,86,3,261,"MLGANML_4_3094","MLG16_4_3094","deciduous_forest","Female Reproductive",1,10630,182,0.0171213546566322,0.349009958802349,72,6.16992500144231,0.939708813181133,0.587309095753763,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3095","F-3095","F-3095","St. Croix State Park","DeadEnd Lake","6/29/16",181,2016,"DeadEnd Lake_Net3",527775,5087319,"MYSE","F","L",10.4,"24.5","A","0",275.352,"527775_5087319_275.352",19,15,0,0,0,0,124,0,0,0,0,0,0,101,5,264,"MLGANML_4_3095","MLG16_4_3095","deciduous_forest","Female Reproductive",1,21310,264,0.0123885499765368,0.252534183401026,64,6,0.472919296089285,0.398517334431081,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3096","F-3096","F-3096","St. Croix State Park","DeadEnd Lake","6/29/16",181,2016,"DeadEnd Lake_Net1",527991,5087289,"MYSE","F","NR",10.5,"21.5","A","0",275.352,"527991_5087289_275.352",0,26,0,0,0,0,146,0,0,0,0,0,0,86,3,261,"MLGANML_4_3096","MLG16_4_3096","deciduous_forest","Female Non-Reproductive",1,17184,171,0.00995111731843575,0.202848379406665,46,5.52356195605701,0.156842386301387,0.395061460756405,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3097","M-3097","M-3097","St. Croix State Park","DeadEnd Lake","6/29/16",181,2016,"DeadEnd Lake_Net1",527991,5087289,"EPFU","M","TD",23,"34","A","0",405.7866,"527991_5087289_405.7866",17,45,0,0,0,0,220,0,0,0,0,0,0,279,9,570,"MLGANML_4_3097","MLG16_4_3097","woody_wet","Male Reproductive",1,36280,204,0.00562293274531422,0.114620575599741,37,5.20945336562895,-0.666693344043488,0.554737570601797,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3098","F-3098","F-3098","St. Croix State Park","DeadEnd Lake","6/30/16",182,2016,"DeadEnd Lake_Net3",527775,5087319,"MYSE","F","L",9.9,"24","A","0",275.352,"527775_5087319_275.352",19,15,0,0,0,0,124,0,0,0,0,0,0,101,5,264,"MLGANML_4_3098","MLG16_4_3098","deciduous_forest","Female Reproductive",1,31581,509,0.0161172857097622,0.328542532666411,70,6.12928301694497,0.852520761632118,0.624594628630428,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3197","F-3197","F-3197","Nemadji State Forest","Harlis Forest Rd.","7/18/17",199,2017,"Harlis Forest Rd._Net 3",551920,5140562,"MYSE","F","L",10.3,"37","A","0",275.352,"551920_5140562_275.352",0,4,1,0,0,0,2,48,80,2,0,0,0,126,0,263,"MLGANML_4_3197","MLG16_4_3197","woody_wet","Female Reproductive",1,16032,87,0.00542664670658683,0.110619386227545,19,4.24792751344359,-0.717955147945577,0.165143344316684,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3200","M-3200","M-3200","Nemadji State Forest","Harlis Forest Rd.","7/19/17",200,2017,"Harlis Forest Rd._Net 1",552291,5140673,"MYSE","M","TD",11.1,"37","A","1",275.352,"552291_5140673_275.352",0,9,1,0,0,0,33,36,59,2,0,0,0,125,1,266,"MLGANML_4_3200","MLG16_4_3200","woody_wet","Male Reproductive",1,24121,199,0.00825007255088927,0.168173461670972,38,5.24792751344359,-0.113609328830255,0.54363712785687,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3203","M-3203","M-3203","Nemadji State Forest","Net Lake Rd.","7/20/17",201,2017,"Net Lake Rd._Net 3",544936,5137527,"EPFU","M","TD",22,"47.5","A","1",405.7866,"544936_5137527_405.7866",0,26,1,0,0,0,233,0,107,27,0,0,0,174,6,574,"MLGANML_4_3203","MLG16_4_3203","deciduous_forest","Male Reproductive",1,28062,377,0.0134345378091369,0.273856104340389,96,6.58496250072116,0.589858648529468,0.74869929822524,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3207","M-3207","M-3207","Nemadji State Forest","Matthew Lourey Trail","7/20/17",201,2017,"Matthew Lourey Trail_Net 2",544491,5126601,"EPFU","M","TD",25,"46.5","A","1",405.7866,"544491_5126601_405.7866",0,25,1,0,0,0,231,7,25,0,0,0,0,268,17,574,"MLGANML_4_3207","MLG16_4_3207","woody_wet","Male Reproductive",1,15619,187,0.0119725974774313,0.244055206854605,45,5.49185309632967,0.423648141254319,0.476814521534775,"Western Superior Uplands","Mille Lacs Uplands"
